Sp_pepid	domain_id	SourceDB	start	end	score	evalue
PTR_199753	RWP-RK	PFAM	581	632	90	7.7e-24
PTR_199753	PB1	PFAM	808	891	84.8	2.8e-22
PTR_199869	E2F_TDP	PFAM	131	196	137.7	3.3e-38
PTR_199890	NAM	PFAM	14	141	236.6	5.4e-68
PTR_199985	FAR1	PFAM	61	136	93.5	6.8e-25
PTR_199985	SWIM	PFAM	524	560	39.1	1.6e-08
PTR_200201	DDT	PFAM	150	210	43.4	8.3e-10
PTR_200201	PHD	PFAM	379	424	35.9	1.4e-07
PTR_200253	AP2	PFAM	15	66	71.3	3.2e-18
PTR_200378	zf-C2H2	PFAM	67	89	21.6	0.003
PTR_200378	zf-C2H2	PFAM	151	173	20.6	0.006
PTR_200604	Pre-SET	PFAM	95	245	22.9	3.8e-06
PTR_200604	SET	PFAM	247	394	130.9	3.8e-36
PTR_200816	CSD	PFAM	1	65	123.9	4.8e-34
PTR_200898	HLH	PFAM	4	54	31.8	2.5e-06
PTR_201048	DUF1004	PFAM	187	301	305.6	9.6e-89
PTR_201097	SWIB	PFAM	159	234	89.2	1.4e-23
PTR_201097	Plus-3	PFAM	298	392	115.5	1.6e-31
PTR_201148	DUF702	PFAM	1	124	215.3	1.5e-61
PTR_201310	Myb_DNA-binding	PFAM	5	55	30.5	6e-06
PTR_201590	DEK_C	PFAM	3	56	89.8	8.8e-24
PTR_201590	SWIB	PFAM	108	183	133.1	7.9e-37
PTR_201590	SWIB	PFAM	247	322	151.2	2.9e-42
PTR_201590	SWIB	PFAM	381	445	0.7	0.017
PTR_201669	B3	PFAM	122	210	73.9	5.2e-19
PTR_201887	Myb_DNA-binding	PFAM	2	48	59.4	1.2e-14
PTR_201887	Myb_DNA-binding	PFAM	54	99	49.5	1.2e-11
PTR_202289	HLH	PFAM	2	51	48.3	2.7e-11
PTR_202430	DUF260	PFAM	8	108	245.2	1.5e-70
PTR_202575	Agenet	PFAM	1	79	21	0.002
PTR_202575	PHD	PFAM	701	744	50.1	7.6e-12
PTR_202575	Acetyltransf_1	PFAM	871	948	23.6	0.00073
PTR_202615	DUF702	PFAM	127	291	305.8	8.4e-89
PTR_202799	zf-CCCH	PFAM	1	24	7.9	0.12
PTR_202799	zf-CCCH	PFAM	27	52	30.6	5.9e-06
PTR_202799	zf-CCCH	PFAM	98	123	24.7	0.00035
PTR_202799	zf-C3HC4	PFAM	166	223	29.8	9.9e-06
PTR_202799	zf-CCCH	PFAM	254	281	4.7	0.33
PTR_202805	zf-C2H2	PFAM	123	145	23	0.0011
PTR_202805	zf-C2H2	PFAM	207	229	24.3	0.00045
PTR_202828	Myb_DNA-binding	PFAM	6	53	42.1	2e-09
PTR_202828	Myb_DNA-binding	PFAM	59	104	47.8	3.7e-11
PTR_202953	Sigma70_r2	PFAM	105	175	83.9	5.1e-22
PTR_202953	Sigma70_r3	PFAM	179	261	47.9	3.6e-11
PTR_202953	Sigma70_r4	PFAM	274	327	60	7.9e-15
PTR_202997	SRF-TF	PFAM	9	59	105	2.2e-28
PTR_202997	K-box	PFAM	69	167	46.4	9.9e-11
PTR_203051	BAH	PFAM	133	333	67.7	3.9e-17
PTR_203051	PHD	PFAM	160	207	40.2	7.5e-09
PTR_203051	AAA	PFAM	460	669	47.7	4.1e-11
PTR_203071	Myb_DNA-binding	PFAM	4	51	34.3	4.5e-07
PTR_203071	Myb_DNA-binding	PFAM	57	102	44.8	3e-10
PTR_203112	NAM	PFAM	2	129	208.5	1.6e-59
PTR_203115	NAM	PFAM	2	129	205.3	1.5e-58
PTR_203208	GRAS	PFAM	21	336	379.6	5.1e-111
PTR_203294	SRF-TF	PFAM	8	56	47.9	3.5e-11
PTR_203373	Myb_DNA-binding	PFAM	3	49	50.2	7.2e-12
PTR_203373	Myb_DNA-binding	PFAM	55	100	59.6	1.1e-14
PTR_203457	zf-CCCH	PFAM	158	183	18.8	0.0045
PTR_203457	RRM_1	PFAM	230	296	54.4	4e-13
PTR_203640	Myb_DNA-binding	PFAM	133	183	39.2	1.5e-08
PTR_203692	GRAS	PFAM	137	444	432.5	5.8e-127
PTR_203698	GRAS	PFAM	1	285	358.3	1.3e-104
PTR_203702	GRAS	PFAM	265	575	474.3	1.5e-139
PTR_203733	Myb_DNA-binding	PFAM	582	632	20.4	0.0066
PTR_203805	Homeobox	PFAM	1	59	49.8	9.6e-12
PTR_203876	Myb_DNA-binding	PFAM	8	55	55.4	1.9e-13
PTR_203876	Myb_DNA-binding	PFAM	61	106	52.7	1.3e-12
PTR_203989	Homeobox	PFAM	15	69	61.9	2.2e-15
PTR_203989	HALZ	PFAM	70	114	82.4	1.4e-21
PTR_204135	Myb_DNA-binding	PFAM	8	55	49.2	1.5e-11
PTR_204135	Myb_DNA-binding	PFAM	61	106	46.1	1.2e-10
PTR_204283	Homeobox	PFAM	25	85	66.7	7.9e-17
PTR_204283	START	PFAM	162	372	193.4	5.6e-55
PTR_204283	MEKHLA	PFAM	694	858	295.8	8.6e-86
PTR_204506	Myb_DNA-binding	PFAM	14	62	51.1	3.8e-12
PTR_204506	Myb_DNA-binding	PFAM	68	113	39.5	1.2e-08
PTR_204626	zf-CW	PFAM	6	55	55	2.6e-13
PTR_204626	SET	PFAM	155	285	159.3	1.1e-44
PTR_204649	zf-CCCH	PFAM	240	267	13.4	0.024
PTR_204649	zf-CCCH	PFAM	295	319	12.1	0.034
PTR_204649	zf-CCCH	PFAM	322	347	6.3	0.2
PTR_204649	zf-CCCH	PFAM	348	370	18.4	0.005
PTR_204826	zf-Dof	PFAM	18	80	129.5	9.7e-36
PTR_204863	bZIP_2	PFAM	17	71	33.9	5.8e-07
PTR_204863	bZIP_1	PFAM	19	80	30.4	6.5e-06
PTR_205322	NAM	PFAM	9	138	261.2	2.3e-75
PTR_205341	BTB	PFAM	52	190	18.2	7.6e-05
PTR_205341	Ank	PFAM	296	329	20.1	0.0085
PTR_205341	Ank	PFAM	330	362	18.6	0.023
PTR_205407	B3	PFAM	112	217	113.2	7.7e-31
PTR_205407	Auxin_resp	PFAM	239	322	196.6	6.2e-56
PTR_205424	HLH	PFAM	359	408	55.7	1.6e-13
PTR_205458	Arm	PFAM	92	140	27.3	5.5e-05
PTR_205458	Arm	PFAM	142	182	36.7	8.6e-08
PTR_205458	HEAT	PFAM	148	184	19.2	0.016
PTR_205458	Arm	PFAM	184	224	43.3	8.7e-10
PTR_205458	Arm	PFAM	226	266	22.5	0.0016
PTR_205458	Arm	PFAM	268	308	30.7	5.5e-06
PTR_205458	HEAT	PFAM	274	310	12.6	0.35
PTR_205458	BTB	PFAM	485	593	97.3	4.6e-26
PTR_205490	PHD	PFAM	89	132	55.6	1.7e-13
PTR_787226	GRAS	PFAM	2	200	37.7	4.7e-10
PTR_787377	Acetyltransf_1	PFAM	59	148	61	4.1e-15
PTR_788202	mTERF	PFAM	98	372	43.4	6.2e-11
PTR_788764	NAM	PFAM	8	144	12.8	1.1e-08
PTR_788767	NAM	PFAM	8	146	8.5	2.8e-08
PTR_789218	Acetyltransf_1	PFAM	62	145	31.1	4.1e-06
PTR_789260	WRKY	PFAM	22	60	19.7	2.8e-06
PTR_789604	GATA	PFAM	153	188	65	2.5e-16
PTR_789718	GRAS	PFAM	2	213	42.3	2.9e-10
PTR_790127	AP2	PFAM	44	95	80	7.8e-21
PTR_791669	NAM	PFAM	2	133	177	4.8e-50
PTR_791723	B3	PFAM	50	148	78.5	2.2e-20
PTR_792669	Myb_DNA-binding	PFAM	22	67	51.8	2.3e-12
PTR_792756	GRAS	PFAM	2	275	53	1.1e-12
PTR_792763	Myb_DNA-binding	PFAM	49	100	37.2	6.1e-08
PTR_792847	FAR1	PFAM	71	147	115.7	1.4e-31
PTR_792847	FAR1	PFAM	225	301	125.2	1.9e-34
PTR_792925	AP2	PFAM	26	77	79	1.6e-20
PTR_792951	B3	PFAM	4	89	27.6	4.7e-05
PTR_793063	NAM	PFAM	4	137	185.1	1.8e-52
PTR_794412	HisKA	PFAM	36	104	30	8.5e-06
PTR_794412	HATPase_c	PFAM	147	267	87.7	3.7e-23
PTR_794412	Response_reg	PFAM	234	346	127.9	2.9e-35
PTR_794434	mTERF	PFAM	1	269	24.9	1e-09
PTR_794513	HATPase_c	PFAM	31	153	113	8.9e-31
PTR_794513	Response_reg	PFAM	201	315	69.4	1.2e-17
PTR_794784	HWE_HK	PFAM	68	150	137.2	4.6e-38
PTR_794784	Response_reg	PFAM	169	277	37	7e-08
PTR_795036	HATPase_c	PFAM	1	111	44.4	3.9e-10
PTR_795036	CheW	PFAM	116	244	70.7	4.7e-18
PTR_795036	Response_reg	PFAM	290	404	110.8	4.1e-30
PTR_795098	Response_reg	PFAM	5	122	86.3	9.5e-23
PTR_795098	LytTR	PFAM	174	270	88.9	1.7e-23
PTR_795308	CXC	PFAM	11	52	88.5	2.1e-23
PTR_795420	B3	PFAM	3	92	28.6	2.3e-05
PTR_795562	Response_reg	PFAM	12	124	144.5	2.9e-40
PTR_795562	Sigma54_activat	PFAM	153	369	431.8	9.7e-127
PTR_795562	AAA_5	PFAM	176	322	10.1	0.00049
PTR_795667	SNF2_N	PFAM	1	120	-68.6	7.6e-05
PTR_795931	Response_reg	PFAM	82	194	126.7	6.5e-35
PTR_796265	zf-C2H2	PFAM	36	59	18.1	0.032
PTR_796296	AP2	PFAM	24	75	78.3	2.4e-20
PTR_796489	Homeobox	PFAM	33	89	85.1	2.3e-22
PTR_796489	START	PFAM	205	430	168.3	2.1e-47
PTR_796498	CCT	PFAM	189	233	66.1	1.2e-16
PTR_796605	zf-C2H2	PFAM	140	162	19.5	0.013
PTR_796605	zf-C2H2	PFAM	191	213	20.3	0.007
PTR_796697	CSD	PFAM	13	80	89.9	8.2e-24
PTR_796697	zf-CCHC	PFAM	105	122	32.5	1.5e-06
PTR_796697	zf-CCHC	PFAM	144	161	31.8	2.6e-06
PTR_796697	zf-CCHC	PFAM	166	183	31.1	4e-06
PTR_796697	zf-CCHC	PFAM	186	203	33.6	7.3e-07
PTR_796697	zf-CCHC	PFAM	218	235	37.6	4.5e-08
PTR_796703	HLH	PFAM	61	111	35.5	2e-07
PTR_796816	zf-C2H2	PFAM	68	90	26.4	0.0001
PTR_796816	zf-C2H2	PFAM	144	166	19.5	0.013
PTR_797143	AP2	PFAM	6	57	74.9	2.6e-19
PTR_797285	zf-Dof	PFAM	36	98	136.8	5.9e-38
PTR_797303	DEK_C	PFAM	5	60	53.4	8.1e-13
PTR_797303	PC4	PFAM	57	148	134.4	3.3e-37
PTR_797318	WRKY	PFAM	130	192	126.9	5.8e-35
PTR_797511	NAM	PFAM	6	131	86.3	9.9e-23
PTR_797543	Homeobox	PFAM	103	159	85.5	1.8e-22
PTR_797543	START	PFAM	275	500	298.7	1.1e-86
PTR_797557	Homeobox	PFAM	16	76	64.8	2.9e-16
PTR_797557	START	PFAM	161	371	240.1	4.8e-69
PTR_797557	MEKHLA	PFAM	704	851	329	8.8e-96
PTR_797672	GRAS	PFAM	199	503	444.6	1.4e-130
PTR_797707	Myb_DNA-binding	PFAM	8	55	54	5.1e-13
PTR_797707	Myb_DNA-binding	PFAM	61	106	57.4	4.9e-14
PTR_797843	PAH	PFAM	74	120	65.2	2.2e-16
PTR_797843	PAH	PFAM	159	205	66.9	6.9e-17
PTR_797843	PAH	PFAM	360	406	43.4	8.3e-10
PTR_797843	HDAC_interact	PFAM	461	561	212.2	1.2e-60
PTR_797859	Myb_DNA-binding	PFAM	15	62	47.3	5.2e-11
PTR_797859	Myb_DNA-binding	PFAM	68	113	50.3	6.9e-12
PTR_798071	DUF260	PFAM	2	107	93.6	6.1e-25
PTR_798077	HLH	PFAM	233	280	32	2.2e-06
PTR_798080	LIM	PFAM	11	67	58.9	1.8e-14
PTR_798080	LIM	PFAM	109	165	85	2.4e-22
PTR_798206	PHD	PFAM	147	198	60.9	4.4e-15
PTR_798319	SBP	PFAM	106	184	172.7	9.5e-49
PTR_798353	RWP-RK	PFAM	591	642	101.9	2e-27
PTR_798353	PB1	PFAM	804	887	97.6	3.8e-26
PTR_798477	F-box	PFAM	36	91	33.5	7.9e-07
PTR_798477	Tub	PFAM	102	391	435.2	8.9e-128
PTR_798505	DUF260	PFAM	11	112	232.2	1.2e-66
PTR_798526	AUX_IAA	PFAM	11	200	358.4	1.2e-104
PTR_798727	PHD	PFAM	300	349	28.7	5.7e-06
PTR_798727	PHD	PFAM	943	990	31.7	2.6e-06
PTR_798748	AP2	PFAM	142	193	82.9	1e-21
PTR_798914	LIM	PFAM	91	147	28.4	2.7e-06
PTR_798952	Myb_DNA-binding	PFAM	11	58	36	1.4e-07
PTR_798952	Myb_DNA-binding	PFAM	65	110	43.2	9.2e-10
PTR_799038	Myb_DNA-binding	PFAM	14	61	49.7	1e-11
PTR_799038	Myb_DNA-binding	PFAM	67	112	42	2.2e-09
PTR_799128	Homeobox	PFAM	30	85	68.3	2.6e-17
PTR_799128	HALZ	PFAM	86	130	36.3	1.1e-07
PTR_799234	Myb_DNA-binding	PFAM	5	52	40.7	5.2e-09
PTR_799234	Myb_DNA-binding	PFAM	58	103	48.9	1.8e-11
PTR_799720	Myb_DNA-binding	PFAM	100	147	40.7	5.4e-09
PTR_799722	HD-ZIP_N	PFAM	1	111	154.2	3.5e-43
PTR_799722	Homeobox	PFAM	137	191	68.2	2.8e-17
PTR_799722	HALZ	PFAM	192	236	92.5	1.3e-24
PTR_799725	AP2	PFAM	175	227	82	1.9e-21
PTR_799745	GRAS	PFAM	1	300	192.6	1e-54
PTR_800158	AP2	PFAM	6	57	74.9	2.6e-19
PTR_800184	AP2	PFAM	40	97	44.8	2.9e-10
PTR_800184	AP2	PFAM	139	191	62.5	1.5e-15
PTR_800203	GRAS	PFAM	21	361	370.6	2.6e-108
PTR_800217	F-box	PFAM	273	320	19.3	0.015
PTR_800217	SNF2_N	PFAM	323	990	7.2	3.5e-09
PTR_800217	zf-CW	PFAM	557	602	62.9	1.1e-15
PTR_800217	Helicase_C	PFAM	1183	1260	42.2	1.9e-09
PTR_800675	SRF-TF	PFAM	9	59	72.8	1.1e-18
PTR_800677	HMG_box	PFAM	44	113	74.5	3.4e-19
PTR_800701	WRKY	PFAM	208	266	150.7	3.9e-42
PTR_800701	WRKY	PFAM	368	427	157.5	3.7e-44
PTR_800771	Myb_DNA-binding	PFAM	11	60	33.2	9.4e-07
PTR_800928	NAM	PFAM	10	128	107.8	3.2e-29
PTR_800935	SNF2_N	PFAM	370	674	269.6	6.4e-78
PTR_800935	Helicase_C	PFAM	760	838	85.5	1.7e-22
PTR_801067	DUF260	PFAM	13	113	254	3.2e-73
PTR_801153	Acetyltransf_1	PFAM	56	161	59.4	1.2e-14
PTR_801173	SRF-TF	PFAM	9	59	98.3	2.3e-26
PTR_801173	K-box	PFAM	75	172	100.1	6.9e-27
PTR_801293	BTB	PFAM	58	174	92.1	1.7e-24
PTR_801331	F-box	PFAM	51	106	27	7.1e-05
PTR_801331	Tub	PFAM	117	422	650.3	1.7e-192
PTR_801345	SET	PFAM	77	206	182.6	1e-51
PTR_801457	HLH	PFAM	318	367	45.2	2.2e-10
PTR_801459	zf-C2H2	PFAM	38	60	20.4	0.007
PTR_801530	zf-B_box	PFAM	1	47	47	6.9e-11
PTR_801530	zf-B_box	PFAM	53	100	54.7	3.2e-13
PTR_801766	HLH	PFAM	10	59	46	1.3e-10
PTR_801922	bZIP_1	PFAM	283	347	42	2.1e-09
PTR_801922	bZIP_2	PFAM	284	338	43.7	6.4e-10
PTR_801938	Myb_DNA-binding	PFAM	60	106	54.5	3.6e-13
PTR_801938	Myb_DNA-binding	PFAM	112	158	58.3	2.6e-14
PTR_801938	Myb_DNA-binding	PFAM	164	209	49.2	1.5e-11
PTR_802026	WRKY	PFAM	176	234	137.5	3.7e-38
PTR_802026	WRKY	PFAM	338	397	151.8	1.8e-42
PTR_802149	Homeobox	PFAM	34	88	61.6	2.6e-15
PTR_802149	HALZ	PFAM	89	133	88.8	1.7e-23
PTR_802287	AP2	PFAM	10	61	77.2	5.2e-20
PTR_802380	GATA	PFAM	246	281	65	2.5e-16
PTR_802509	HisKA	PFAM	364	429	81.3	3.1e-21
PTR_802509	HATPase_c	PFAM	475	625	146.7	6.4e-41
PTR_802509	Response_reg	PFAM	774	919	51.5	3e-12
PTR_802638	PHD	PFAM	18	66	49.2	1.4e-11
PTR_802638	SET	PFAM	164	299	91.4	2.8e-24
PTR_802926	GRAS	PFAM	200	500	353.6	3.5e-103
PTR_803030	zf-TAZ	PFAM	651	730	101.7	2.2e-27
PTR_803030	DUF906	PFAM	1095	1357	450.7	1.9e-132
PTR_803030	ZZ	PFAM	1540	1586	33.9	5.9e-07
PTR_803030	zf-TAZ	PFAM	1602	1681	43	1.1e-09
PTR_803082	bZIP_1	PFAM	243	296	42.3	1.7e-09
PTR_803082	bZIP_2	PFAM	243	297	40.9	4.4e-09
PTR_803398	zf-Dof	PFAM	38	100	142.8	9.3e-40
PTR_803420	WRKY	PFAM	221	279	154.6	2.7e-43
PTR_803420	WRKY	PFAM	390	449	151.8	1.8e-42
PTR_803466	Myb_DNA-binding	PFAM	6	53	54.6	3.5e-13
PTR_803466	Myb_DNA-binding	PFAM	59	104	46.8	7.8e-11
PTR_803616	GRAS	PFAM	177	470	496	4.5e-146
PTR_803658	zf-C2H2	PFAM	58	80	27.3	5.5e-05
PTR_803658	zf-C2H2	PFAM	135	157	23.7	0.00066
PTR_803692	Myb_DNA-binding	PFAM	24	70	53.3	8.7e-13
PTR_803692	Myb_DNA-binding	PFAM	76	121	46.7	8.3e-11
PTR_803776	AUX_IAA	PFAM	17	246	145.9	1.1e-40
PTR_803780	Myb_DNA-binding	PFAM	17	64	56.4	9.7e-14
PTR_803780	Myb_DNA-binding	PFAM	70	115	51.4	3.2e-12
PTR_803865	PAH	PFAM	30	76	77.4	4.7e-20
PTR_803865	PAH	PFAM	116	162	71.4	3e-18
PTR_803865	PAH	PFAM	330	376	54.3	4.3e-13
PTR_803865	HDAC_interact	PFAM	442	546	181.9	1.6e-51
PTR_803896	FAR1	PFAM	34	110	124.1	4.2e-34
PTR_803896	FAR1	PFAM	187	263	129.7	8.2e-36
PTR_803896	SWIM	PFAM	636	672	37.2	6.1e-08
PTR_803976	RWP-RK	PFAM	586	637	102.2	1.6e-27
PTR_803976	PB1	PFAM	794	877	90.3	6e-24
PTR_803977	zf-C2H2	PFAM	156	178	17.9	0.039
PTR_804174	zf-B_box	PFAM	1	47	34.8	3e-07
PTR_804174	zf-B_box	PFAM	53	100	61.4	3.1e-15
PTR_804242	Response_reg	PFAM	10	123	81.6	2.5e-21
PTR_804358	SRF-TF	PFAM	9	59	106.2	1e-28
PTR_804358	K-box	PFAM	75	167	83.3	8.1e-22
PTR_804381	Acetyltransf_1	PFAM	58	148	54.9	2.7e-13
PTR_804557	GRAS	PFAM	77	383	467.2	2.1e-137
PTR_804600	Myb_DNA-binding	PFAM	14	68	25.9	0.00014
PTR_804600	Bromodomain	PFAM	296	387	44.9	2.9e-10
PTR_804948	HLH	PFAM	81	131	39.3	1.4e-08
PTR_804955	AP2	PFAM	85	137	78.8	1.7e-20
PTR_805045	FHA	PFAM	203	278	66.3	9.9e-17
PTR_805045	PP2C	PFAM	303	563	125.9	1.2e-34
PTR_805314	ELM2	PFAM	136	203	17.8	0.0021
PTR_805314	Myb_DNA-binding	PFAM	256	306	25.8	0.00016
PTR_805345	zf-Dof	PFAM	94	156	141.5	2.4e-39
PTR_805455	Homeobox	PFAM	24	85	55.2	2.2e-13
PTR_805851	mTERF	PFAM	1	228	162.2	1.4e-45
PTR_805855	HLH	PFAM	174	214	8.6	0.019
PTR_805875	Rcd1	PFAM	41	303	628	8.2e-186
PTR_805972	DUF822	PFAM	2	147	295.5	1.1e-85
PTR_806056	Myb_DNA-binding	PFAM	14	61	49.2	1.4e-11
PTR_806176	WRKY	PFAM	229	289	139.3	1.1e-38
PTR_806243	HLH	PFAM	89	140	61.3	3.2e-15
PTR_806249	NAM	PFAM	17	143	313.5	3.9e-91
PTR_806453	LIM	PFAM	11	66	56.5	9.2e-14
PTR_806453	LIM	PFAM	110	166	74.2	4.2e-19
PTR_806541	SWIB	PFAM	179	254	83.9	5.1e-22
PTR_806707	Myb_DNA-binding	PFAM	14	61	49.8	9.8e-12
PTR_806707	Myb_DNA-binding	PFAM	67	112	37	7e-08
PTR_806893	GAF	PFAM	183	331	42.7	1.3e-09
PTR_806893	HisKA	PFAM	367	432	38.7	2e-08
PTR_806893	Response_reg	PFAM	637	753	98.9	1.6e-26
PTR_807179	AP2	PFAM	114	165	85.8	1.4e-22
PTR_807195	Myb_DNA-binding	PFAM	5	57	32.3	1.8e-06
PTR_807195	Linker_histone	PFAM	124	187	32.2	4.4e-07
PTR_807368	Myb_DNA-binding	PFAM	27	72	31.5	3.2e-06
PTR_807406	HLH	PFAM	251	300	47.1	6e-11
PTR_807470	Myb_DNA-binding	PFAM	127	173	37	6.7e-08
PTR_807720	FAR1	PFAM	11	101	132	1.7e-36
PTR_807937	Homeobox	PFAM	40	94	75	2.5e-19
PTR_807937	HALZ	PFAM	95	139	67.4	4.6e-17
PTR_808328	bZIP_1	PFAM	182	237	38.8	2e-08
PTR_808328	bZIP_2	PFAM	183	236	41.8	2.4e-09
PTR_808364	HLH	PFAM	10	59	40.3	6.9e-09
PTR_809109	bZIP_1	PFAM	87	150	56.5	8.9e-14
PTR_809109	bZIP_2	PFAM	87	141	45	2.7e-10
PTR_809281	zf-C2H2	PFAM	43	65	19.6	0.012
PTR_809543	AP2	PFAM	19	70	72.8	1.2e-18
PTR_809560	Homeobox	PFAM	23	84	47.6	4.4e-11
PTR_809721	AP2	PFAM	86	137	80	7.7e-21
PTR_809851	Sigma70_r2	PFAM	299	369	88	2.9e-23
PTR_809851	Sigma70_r3	PFAM	373	455	74.7	3e-19
PTR_809851	Sigma70_r4	PFAM	467	520	80.7	4.8e-21
PTR_809905	QLQ	PFAM	79	115	50.3	6.6e-12
PTR_809905	WRC	PFAM	150	195	103.2	7.9e-28
PTR_809944	Myb_DNA-binding	PFAM	11	58	41	4.2e-09
PTR_809944	Myb_DNA-binding	PFAM	65	110	41.1	3.9e-09
PTR_810146	AP2	PFAM	3	54	75.5	1.7e-19
PTR_810382	E2F_TDP	PFAM	132	197	137.1	5.1e-38
PTR_810965	DUF260	PFAM	4	109	138.6	1.8e-38
PTR_811245	Myb_DNA-binding	PFAM	14	61	51.5	2.8e-12
PTR_811245	Myb_DNA-binding	PFAM	67	112	42	2.1e-09
PTR_811717	KNOX1	PFAM	115	159	87.5	4.1e-23
PTR_811717	KNOX2	PFAM	164	215	97.4	4.5e-26
PTR_811717	ELK	PFAM	251	272	36.7	8.5e-08
PTR_811717	Homeobox	PFAM	282	333	3	0.0055
PTR_811745	PHD	PFAM	130	181	61.6	2.6e-15
PTR_811813	Tub	PFAM	69	326	372.6	6.3e-109
PTR_812021	bZIP_1	PFAM	82	148	29.1	1.6e-05
PTR_812021	bZIP_2	PFAM	82	139	53	1e-12
PTR_813242	PLATZ	PFAM	18	128	267.5	2.7e-77
PTR_813327	HSF_DNA-bind	PFAM	9	185	350.1	3.7e-102
PTR_813372	Myb_DNA-binding	PFAM	17	76	20.8	0.0051
PTR_813485	GRAS	PFAM	196	497	356	6.5e-104
PTR_813615	SWIB	PFAM	63	139	134.2	3.7e-37
PTR_814069	CBFD_NFYB_HMF	PFAM	11	82	42.3	1.7e-09
PTR_814181	LIM	PFAM	10	66	63.6	6.4e-16
PTR_814181	LIM	PFAM	108	164	65.8	1.4e-16
PTR_814436	MED7	PFAM	1	166	323.8	3.2e-94
PTR_814881	GATA	PFAM	179	214	75.6	1.6e-19
PTR_814988	DUF260	PFAM	13	113	251.3	2.1e-72
PTR_815137	Myb_DNA-binding	PFAM	544	594	28.1	3.3e-05
PTR_815186	PLATZ	PFAM	22	136	251.5	1.9e-72
PTR_815791	CBFB_NFYA	PFAM	125	181	134.3	3.4e-37
PTR_815792	Homeobox	PFAM	14	74	64.1	4.6e-16
PTR_815792	START	PFAM	164	374	237.3	3.3e-68
PTR_815792	MEKHLA	PFAM	695	844	326.8	4e-95
PTR_815956	Homeobox	PFAM	75	136	69	1.5e-17
PTR_816086	Myb_DNA-binding	PFAM	14	61	54.8	3.1e-13
PTR_816086	Myb_DNA-binding	PFAM	67	112	40.7	5.2e-09
PTR_816091	AP2	PFAM	107	159	60.8	4.5e-15
PTR_816178	WRKY	PFAM	181	240	149.8	7.5e-42
PTR_816389	HLH	PFAM	47	96	50.2	7.3e-12
PTR_816395	Myb_DNA-binding	PFAM	207	255	25.2	0.00023
PTR_816406	HLH	PFAM	176	225	41.8	2.4e-09
PTR_816434	Homeobox	PFAM	125	179	63.2	8.5e-16
PTR_816434	HALZ	PFAM	180	224	74.2	4.2e-19
PTR_816446	LIM	PFAM	10	66	65.3	2e-16
PTR_816446	LIM	PFAM	110	166	68.4	2.4e-17
PTR_816575	NAM	PFAM	107	236	134.5	3.1e-37
PTR_816628	WRKY	PFAM	128	190	124.8	2.6e-34
PTR_816720	bZIP_1	PFAM	19	82	36.4	1e-07
PTR_816720	bZIP_2	PFAM	19	73	38.1	3.1e-08
PTR_816903	BSD	PFAM	70	136	58.5	2.2e-14
PTR_817040	tify	PFAM	121	156	77.1	5.6e-20
PTR_817040	CCT_2	PFAM	205	231	48.9	1.8e-11
PTR_817110	Homeobox	PFAM	106	162	85.5	1.8e-22
PTR_817110	START	PFAM	273	498	310.7	2.8e-90
PTR_817127	Homeobox	PFAM	15	75	64.8	2.9e-16
PTR_817127	START	PFAM	160	370	231	2.7e-66
PTR_817127	MEKHLA	PFAM	690	837	333.9	2.8e-97
PTR_817360	HLH	PFAM	425	474	51	4.1e-12
PTR_817401	HMG_box	PFAM	155	223	63.7	6.1e-16
PTR_817401	HMG_box	PFAM	273	339	86.1	1.1e-22
PTR_817401	HMG_box	PFAM	398	466	76.7	7.7e-20
PTR_817567	LisH	PFAM	10	36	37.9	3.7e-08
PTR_817567	WD40	PFAM	495	533	28.5	2.4e-05
PTR_817567	WD40	PFAM	537	575	35.2	2.3e-07
PTR_817567	WD40	PFAM	580	619	28.6	2.3e-05
PTR_817567	WD40	PFAM	662	699	30.3	7.2e-06
PTR_817567	WD40	PFAM	744	782	29.4	1.3e-05
PTR_817699	zf-CCCH	PFAM	39	65	19	0.0042
PTR_817699	zf-CCCH	PFAM	102	128	28.6	2.3e-05
PTR_817699	KH_1	PFAM	191	253	55.3	2.1e-13
PTR_817699	zf-CCCH	PFAM	282	307	40	8.4e-09
PTR_817844	AP2	PFAM	27	78	81.2	3.4e-21
PTR_818112	bZIP_1	PFAM	26	89	42.6	1.4e-09
PTR_818112	bZIP_2	PFAM	26	81	37.9	3.6e-08
PTR_818190	Myb_DNA-binding	PFAM	14	61	47.7	4.2e-11
PTR_818190	Myb_DNA-binding	PFAM	67	112	57.2	5.6e-14
PTR_818368	HMG_box	PFAM	39	108	110.4	5.4e-30
PTR_818400	SET	PFAM	762	890	155	2.1e-43
PTR_818500	Auxin_resp	PFAM	15	99	123.8	5e-34
PTR_818564	GRAS	PFAM	189	494	506.5	3.2e-149
PTR_818659	Acetyltransf_1	PFAM	45	128	73.1	9.2e-19
PTR_818828	bZIP_1	PFAM	151	215	50.7	5.3e-12
PTR_818828	bZIP_2	PFAM	151	205	40	8.2e-09
PTR_818862	BTB	PFAM	198	300	68.5	2.2e-17
PTR_818862	BTB	PFAM	338	452	80.5	5.3e-21
PTR_818862	F5_F8_type_C	PFAM	662	801	22.8	0.0012
PTR_818888	bZIP_2	PFAM	140	194	24.6	0.00035
PTR_819104	WRKY	PFAM	221	281	136	1.1e-37
PTR_819262	BTB	PFAM	49	186	13.1	0.00022
